GCA_000009005.1_ASM900v1_genomic.fna	RF122
GCF_000009005.1_ASM900v1_genomic.fna	RF122
GCA_000009585.1_ASM958v1_genomic.fna	type strain:ST398
GCF_000009585.1_ASM958v1_genomic.fna	type strain:ST398
GCA_000009645.1_ASM964v1_genomic.fna	N315
GCF_000009645.1_ASM964v1_genomic.fna	N315
GCA_000009665.1_ASM966v1_genomic.fna	Mu50
GCF_000009665.1_ASM966v1_genomic.fna	Mu50
GCA_000010445.1_ASM1044v1_genomic.fna	Mu3
GCF_000010445.1_ASM1044v1_genomic.fna	Mu3
GCA_000010465.1_ASM1046v1_genomic.fna	Newman
GCF_000010465.1_ASM1046v1_genomic.fna	Newman
GCA_000011265.1_ASM1126v1_genomic.fna	MW2
GCF_000011265.1_ASM1126v1_genomic.fna	MW2
GCA_000011505.1_ASM1150v1_genomic.fna	MRSA252
GCF_000011505.1_ASM1150v1_genomic.fna	MRSA252
GCA_000011525.1_ASM1152v1_genomic.fna	MSSA476
GCF_000011525.1_ASM1152v1_genomic.fna	MSSA476
GCA_000012045.1_ASM1204v1_genomic.fna	COL
GCF_000012045.1_ASM1204v1_genomic.fna	COL
GCA_000013425.1_ASM1342v1_genomic.fna	NCTC 8325
GCF_000013425.1_ASM1342v1_genomic.fna	NCTC 8325
GCA_000013465.1_ASM1346v1_genomic.fna	USA300_FPR3757
GCF_000013465.1_ASM1346v1_genomic.fna	USA300_FPR3757
GCA_000016805.1_ASM1680v1_genomic.fna	JH9
GCF_000016805.1_ASM1680v1_genomic.fna	JH9
GCA_000017085.1_ASM1708v1_genomic.fna	TCH1516
GCF_000017085.1_ASM1708v1_genomic.fna	TCH1516
GCA_000024585.1_ASM2458v1_genomic.fna	ED98
GCF_000024585.1_ASM2458v1_genomic.fna	ED98
GCA_000025145.2_ASM2514v1_genomic.fna	04-02981
GCF_000025145.1_ASM2514v1_genomic.fna	04-02981
GCA_000027045.1_ASM2704v1_genomic.fna	TW20
GCF_000027045.1_ASM2704v1_genomic.fna	TW20
GCA_000144955.1_ASM14495v1_genomic.fna	JKD6159
GCF_000144955.1_ASM14495v1_genomic.fna	JKD6159
GCA_000145595.1_ASM14559v1_genomic.fna	JKD6008
GCF_000145595.1_ASM14559v1_genomic.fna	JKD6008
GCA_000159535.2_ASM15953v2_genomic.fna	TCH60
GCF_000159535.2_ASM15953v2_genomic.fna	TCH60
GCA_000160335.2_ASM16033v2_genomic.fna	55/2053
GCF_000160335.2_ASM16033v2_genomic.fna	55/2053
GCA_000189455.3_ASM18945v3_genomic.fna	O46
GCF_000189455.2_ASM18945v3_genomic.fna	O46
GCA_000204665.1_ASM20466v1_genomic.fna	T0131
GCF_000204665.1_ASM20466v1_genomic.fna	T0131
GCA_000210315.1_ASM21031v1_genomic.fna	ED133
GCF_000210315.1_ASM21031v1_genomic.fna	ED133
GCA_000237125.3_ASM23712v3_genomic.fna	M013
GCF_000237125.1_ASM23712v1_genomic.fna	M013
GCF_000237125.2_ASM23712v3_genomic.fna	M013
GCA_000237265.1_ASM23726v1_genomic.fna	LGA251
GCF_000237265.1_ASM23726v1_genomic.fna	LGA251
GCA_000239235.1_ASM23923v1_genomic.fna	11819-97
GCF_000239235.1_ASM23923v1_genomic.fna	11819-97
GCA_000245495.1_ASM24549v1_genomic.fna	VC40
